"unigram","bigram","freq"
"sextesting","olympic",20
"shouldas","stay",20
"shower","curtain",20
"solar","system",20
"sometimes","buildings",20
"speaking","sometimes",20
"stay","one",20
"steal","ipod",20
"stucco","contractors",20
"taking","care",20
"thing","outside",20
"things","going",20
"think","headphones",20
"tickets","person",20
"true","stories",20
"two","hours",20
"united","nations",20
"ur","ability",20
"us","new",20
"volume","just",20
"way","back",20
"well","florida",20
"whiteness","maleness",20
"whole","bag",20
"whole","lot",20
"will","one",20
"will","win",20
"wish","luck",20
"ya","shouldas",20
"yep","now",20
"yet","somehow",20
"ahead","towards",19
"already","clogged",19
"already","love",19
"anyone","help",19
"ashley","excited",19
"assist","astros",19
"astros","run",19
"atlanta","now",19
"beautiful","xo",19
"better","expected",19
"big","money",19
"big","one",19
"book","looks",19
"can","anyone",19
"changed","life",19
"choose","mba",19
"clients","rebook",19
"clogged","just",19
"come","support",19
"coming","soon",19
"contact","us",19
"cruise","lines",19
"day","right",19
"done","one",19
"either","way",19
"else","problem",19
"end","march",19
"ever","seen",19
"every","two",19
"every","year",19
"expected","yesterday",19
"finally","got",19
"find","josh",19
"follow","nyc",19
"full","year",19
"fulltime","semester",19
"get","hurt",19
"get","team",19
"good","day",19
"got","hit",19
"happens","rt",19
"hey","can",19
"hey","just",19
"hip","hop",19
"im","sad",19
"josh","ritter",19
"just","another",19
"just","arrived",19
"just","moved",19
"just","named",19
"just","want",19
"know","better",19
"know","gonna",19
"know","right",19
"last","day",19
"let","fag",19
"life","make",19
"light","brown",19
"like","can",19
"lines","poach",19
"lol","rt",19
"london","fulltime",19
"longest","ran",19
"looks","beautiful",19
"makes","want",19
"many","others",19
"may","maybe",19
"maybe","go",19
"mba","follow",19
"mi","better",19
"million","people",19
"motivated","running",19
"moved","couple",19
"national","anthem",19
"need","bring",19
"need","coffee",19
"new","song",19
"nice","assist",19
"night","will",19
"now","way",19
"nyc","london",19
"one","guy",19
"one","think",19
"pair","jeans",19
"past","months",19
"pie","book",19
"placements","full",19
"poach","clients",19
"problem","cruise",19
"ran","since",19
"rebook","board",19
"run","earlier",19
"running","mi",19
"s","just",19
"see","pie",19
"semester","bangkok",19
"since","may",19
"spend","time",19
"team","just",19
"team","please",19
"thanks","ashley",19
"think","know",19
"today","th",19
"toilets","already",19
"two","toilets",19
"want","hear",19
"want","just",19
"way","dc",19
"will","happen",19
"will","miss",19
"year","choose",19
"yesterday","longest",19
"add","onion",18
"alfred","described",18
"already","tell",18
"also","used",18
"anime","win",18
"apartment","blame",18
"around","bored",18
"around","far",18
"around","new",18
"arts","center",18
"ashton","compares",18
"attendees","let",18
"bags","water",18
"band","business",18
"beads","courage",18
"bef","th",18
"beppo","apple",18
"bitches","proceeds",18
"blame","wanting",18
"blog","hop",18
"bored","start",18
"bring","back",18
"bucca","di",18
"business","cause",18
"call","peahead",18
"can","already",18
"catherine","ashton",18
"cause","freely",18
"certainly","get",18
"chars","less",18
"chatting","mobile",18
"citizens","act",18
"club","said",18
"coaches","tell",18
"come","octane",18
"concertcontest","season",18
"connect","today",18
"create","new",18
"cvs","walmart",18
"date","night",18
"daughter","just",18
"day","get",18
"day","one",18
"di","beppo",18
"ditching","book",18
"dont","work",18
"even","coaches",18
"even","love",18
"ever","since",18
"every","week",18
"far","planing",18
"father","highly",18
"fell","nd",18
"figure","rules",18
"freely","hit",18
"friends","chatting",18
"gallery","kustom",18
"game","score",18
"get","chars",18
"get","together",18
"get","work",18
"goals","guess",18
"god","bless",18
"going","apartment",18
"going","horrible",18
"going","safetec",18
"going","vegas",18
"good","afternoon",18
"good","good",18
"great","home",18
"great","way",18
"hahaha","love",18
"head","call",18
"highly","respected",18
"hit","us",18
"hold","new",18
"holding","needles",18
"home","stretch",18
"honesty","william",18
"horrible","day",18
"hubs","includes",18
"im","back",18
"impacts","mitigated",18
"includes","bucca",18
"intersections","significant",18
"katherine","mae",18
"know","going",18
"know","will",18
"kustom","thrills",18
"lame","one",18
"las","vegas",18
"last","time",18
"legacy","rich",18
"let","year",18
"lexington","ky",18
"life","good",18
"like","connect",18
"like","sitting",18
"likewise","thanks",18
"little","boys",18
"love","get",18
"lovely","katherine",18
"luck","new",18
"mae","tinypiccomrvqmtw",18
"make","new",18
"make","rain",18
"making","new",18
