"unigram","bigram","trigram","freq"
"magazine","one","favorites",17
"marine","geologist","whoi",17
"maybe","next","time",17
"means","bacteria","use",17
"mens","basketball","plays",17
"million","contract","extension",17
"million","years","ago",17
"minnesota","wild","sign",17
"miss","going","amazing",17
"miss","gourmet","magazine",17
"music","life","mistake",17
"n","u","know",17
"name","family","brady",17
"national","anthem","game",17
"never","sought","checkpoint",17
"new","intern","zach",17
"new","show","ruth",17
"next","deal","launches",17
"next","time","loved",17
"next","time","mate",17
"niece","really","pretty",17
"night","fantastic","speakers",17
"night","will","see",17
"nitrites","hydrogen","ions",17
"nopee","supplying","venuee",17
"note","hydrogen","ions",17
"nothing","just","like",17
"offline","night","will",17
"oh","really","cool",17
"one","favorites","good",17
"one","next","time",17
"orwell","year","never",17
"overwhelmed","blessing","daughter",17
"people","prove","right",17
"people","touch","earth",17
"picture","get","one",17
"plays","pm","women",17
"pm","women","play",17
"pretty","fucked","ask",17
"pretty","tan","skin",17
"produced","every","ions",17
"producer","singing","national",17
"psyched","producer","singing",17
"puts","people","touch",17
"randi","generators","wre",17
"read","u","know",17
"really","cool","niece",17
"really","pretty","tan",17
"recap","topshop","event",17
"rigth","yesterday","look",17
"rock","n","roll",17
"rt","love","s",17
"rt","psyched","producer",17
"ruth","wait","see",17
"s","just","projecting",17
"s","recap","topshop",17
"seeing","badgers","fans",17
"sexy","kid","hahaha",17
"show","ruth","wait",17
"sign","defenseman","clayton",17
"singing","national","anthem",17
"single","n","u",17
"skin","gonna","sexy",17
"small","amount","energy",17
"sought","checkpoint","c",17
"start","homework","hours",17
"stoner","twoyear","million",17
"suppose","start","homework",17
"tan","skin","gonna",17
"teens","go","give",17
"thanks","chica","welcome",17
"thanks","much","follow",17
"thing","pretty","fucked",17
"thinking","s","just",17
"tickets","available","door",17
"time","berlin","million",17
"time","loved","watching",17
"time","mate","xx",17
"topshop","event","hosted",17
"touch","earth","dan",17
"two","hydrogen","ions",17
"twoyear","million","contract",17
"u","gotten","picture",17
"u","know","whydontujusttagmeinthem",17
"use","small","amount",17
"used","increases","acidity",17
"w","u","today",17
"wait","till","october",17
"watching","game","w",17
"water","convert","ammonium",17
"welcome","rt","love",17
"welcomes","new","intern",17
"whatever","nothing","just",17
"wife","love","babe",17
"wild","sign","defenseman",17
"will","miss","gourmet",17
"will","see","prog",17
"without","music","life",17
"women","play","pm",17
"work","puts","people",17
"wre","offline","night",17
"yeah","u","gotten",17
"year","never","sought",17
"years","ago","orwell",17
"yes","know","snowing",17
"yesterday","look","randi",17
"yet","im","still",17
"ability","bless","others",16
"account","allow","follow",16
"account","okay","cause",16
"age","clippers","roster",16
"air","horns","whistles",16
"air","laura","ingram",16
"al","road","trip",16
"aldo","fo","zippy",16
"allow","follow","ppl",16
"amount","impact","u",16
"anna","maria","horner",16
"anyone","help","rt",16
"approximately","fq","size",16
"asparagus","makes","pee",16
"ass","finish","chapter",16
"asshole","writing","bios",16
"austin","mahone","fool",16
"average","age","clippers",16
"aviary","joel","dewberry",16
"aww","love","site",16
"back","house","bout",16
"back","popular","demand",16
"bacon","cooks","differently",16
"bag","swap","round",16
"baileys","talking","bacon",16
"bandana","pillow","maxfield",16
"bazaar","patty","young",16
"beer","distbrewery","looking",16
"beer","garden","please",16
"believe","gold","mars",16
"bell","ndsu","graduation",16
"bella","jewelrys","days",16
"bellagio","wish","luck",16
"benartex","taza","dena",16
"best","deal","year",16
"blamed","draftees","errors",16
"blessed","helping","hands",16
"block","take","hold",16
"bloomington","see","et",16
"bottle","rockets","far",16
"bout","catch","drunk",16
"brights","kona","solids",16
"broncos","sick","af",16
"brought","bottle","rockets",16
"bus","coral","kaffe",16
"c","beer","garden",16
"cab","twitter","dab",16
"cake","designs","robert",16
"called","austin","mahone",16
"can","finally","see",16
"cash","games","bellagio",16
"catch","drunk","zs",16
"cats","may","work",16
"cause","account","allow",16
"challenge","charm","pack",16
"change","others","work",16
"changing","world","changes",16
"charm","pack","brights",16
"check","daily","gift",16
"chillen","genever","class",16
"christmas","sale","starts",16
"ciao","bella","jewelrys",16
"circles","robert","kaufman",16
"class","great","time",16
"clippers","roster","spurs",16
"clothworks","half","moon",16
"come","see","may",16
"cooks","differently","nite",16
"coons","vs","odonnellppl",16
"coral","kaffe","fassett",16
"cow","bell","ndsu",16
"crack","know","someone",16
"crap","kim","saying",16
"crimitrent","clothworks","half",16
"crush","maybe","anna",16
"dab","picture","comes",16
"daily","gift","wholesale",16
"dammit","going","kick",16
"damore","benartex","taza",16
"dance","oz","sanae",16
"day","life","mummysan",16
"days","christmas","sale",16
"deal","tweet","us",16
"deal","year","get",16
"dealing","old","issues",16
"deb","strain","moda",16
"delaware","ashamed","odonnell",16
"demand","ciao","bella",16
"dena","free","spirit",16
"deserves","deal","tweet",16
"design","inc","terrain",16
"designs","robert","kaufman",16
"dewberry","free","spirit",16
