"unigram","bigram","trigram","quadgram","freq"
"randi","generators","wre","offline",17
"read","u","know","whydontujusttagmeinthem",17
"really","cool","niece","really",17
"really","pretty","tan","skin",17
"recap","topshop","event","hosted",17
"rigth","yesterday","look","randi",17
"rt","love","s","recap",17
"rt","psyched","producer","singing",17
"s","just","projecting","insanity",17
"s","recap","topshop","event",17
"seeing","badgers","fans","kohl",17
"show","ruth","wait","see",17
"sign","defenseman","clayton","stoner",17
"singing","national","anthem","game",17
"single","n","u","know",17
"skin","gonna","sexy","kid",17
"small","amount","energy","electrons",17
"start","homework","hours","ago",17
"stoner","twoyear","million","contract",17
"suppose","start","homework","hours",17
"tan","skin","gonna","sexy",17
"teens","go","give","u",17
"thanks","chica","welcome","rt",17
"thing","pretty","fucked","ask",17
"thinking","s","just","projecting",17
"tickets","available","door","miss",17
"time","berlin","million","years",17
"time","loved","watching","game",17
"touch","earth","dan","fornari",17
"two","hydrogen","ions","create",17
"twoyear","million","contract","extension",17
"u","gotten","picture","get",17
"u","know","clap","yur",17
"use","small","amount","energy",17
"used","increases","acidity","water",17
"watching","game","w","u",17
"water","convert","ammonium","hydroxide",17
"welcome","rt","love","s",17
"welcomes","new","intern","zach",17
"whatever","nothing","just","like",17
"wife","love","babe","wait",17
"wild","sign","defenseman","clayton",17
"will","miss","gourmet","magazine",17
"without","music","life","mistake",17
"work","puts","people","touch",17
"wre","offline","night","will",17
"yeah","u","gotten","picture",17
"year","never","sought","checkpoint",17
"years","ago","orwell","year",17
"yes","know","snowing","obsess",17
"yesterday","look","randi","generators",17
"yet","im","still","computer",17
"account","allow","follow","ppl",16
"account","okay","cause","account",16
"age","clippers","roster","spurs",16
"air","horns","whistles","even",16
"air","laura","ingram","morning",16
"aldo","fo","zippy","jenn",16
"allow","follow","ppl","hahah",16
"amount","impact","u","ur",16
"anna","maria","horner","free",16
"anyone","help","rt","local",16
"approximately","fq","size","smaller",16
"asparagus","makes","pee","smell",16
"ass","finish","chapter","tonight",16
"average","age","clippers","roster",16
"aviary","joel","dewberry","free",16
"aww","love","site","fear",16
"back","house","bout","catch",16
"back","popular","demand","ciao",16
"bacon","cooks","differently","nite",16
"baileys","talking","bacon","cooks",16
"bandana","pillow","maxfield","michael",16
"bazaar","patty","young","michael",16
"beer","distbrewery","looking","help",16
"beer","garden","please","contact",16
"bella","jewelrys","days","christmas",16
"benartex","taza","dena","free",16
"best","deal","year","get",16
"blamed","draftees","errors","hardcoded",16
"blessed","helping","hands","today",16
"block","take","hold","dammit",16
"bloomington","see","et","al",16
"bottle","rockets","far","multiple",16
"bout","catch","drunk","zs",16
"brights","kona","solids","school",16
"brought","bottle","rockets","far",16
"bus","coral","kaffe","fassett",16
"c","beer","garden","please",16
"cab","twitter","dab","picture",16
"cake","designs","robert","kaufman",16
"called","austin","mahone","fool",16
